id,created_at,username,tweet,likes_count,emoji
1398437418768818176,2021-05-29 06:18:57 +0545,dendikapan,शुभ बिहानी ☕️☕️ शुभदिनकाे कामना🙏😷👌🇳🇵💞 Hopefully we can get better situation 🙏  https://t.co/O5MU4ihG6v,3,👌
1397792077149216769,2021-05-27 11:34:35 +0545,dendikapan,@damanbro66 Yes I like it 👌so much your post  https://t.co/LDQI8xXXDF,0,👌
1397341721566990336,2021-05-26 05:45:02 +0545,dendikapan,@KiranCh77 Really nice 👌thanks for sharing 👌  https://t.co/WZAX0HxvVB,0,👌
1394863068035813379,2021-05-19 09:35:45 +0545,iammuhnaj,It's still Bull season👌 @ 𝙃𝙊𝙈𝙀  https://t.co/OKD8m68TSk,1,👌
1393821979032133635,2021-05-16 12:38:50 +0545,chetan_karki,#just #fun with #baby #myrahsofkarki 😊❤️ looking at her #blue eyes 👌✌🏻 #chetanvlogs #cute #children #child #instagood #instamood #instagram #instadaily #instaphoto #instavideo @ Orangestudiochetanvlogs  https://t.co/qLcwxnQjwz,0,👌
1390117791315857408,2021-05-06 07:19:43 +0545,dendikapan,@karunakcdotel12 I like it 👌so much your really amazing story that is very important part of the human nature  https://t.co/Mwnekhts3D,0,👌
1389227219067707393,2021-05-03 20:20:54 +0545,iamkalin13,धन्यवाद गोरे सम्झियर सम्झना स्वरुप दिनु भएको मा👌👌 आज बल्ल थाहा भो  समय को पावन्दिलाइ नि छिचोली  आटेको कुरा पूरा अर्नु भयो 💪💪  https://t.co/IZxDPVZvdV,2,👌
1382305567696322562,2021-04-14 17:56:43 +0545,nabin__dhungana,🔥👌  https://t.co/M5qz9AOsda,7,👌
1377440112481509382,2021-04-01 07:43:09 +0545,sushilk22455833,@maaria_cunhaa 👌👌,0,👌
1376222102563471364,2021-03-28 23:03:12 +0545,rabin9860,#Holi_special_2021jamghat @School level slc group 2070  Nice to meet yuh oll of yuh guys  🤗🤗🤗💛💜🧡❣️💗❤️🤝👌🤞 @ Village Highland Resort  https://t.co/59nDrXxFBF,0,👌
1376221514333253634,2021-03-28 23:00:52 +0545,rabin9860,#Holi_special_2021jamghat @School level slc group 2070  Nice to meet yuh oll of yuh guys  🤗🤗🤗💛💜🧡❣️💗❤️🤝👌🤞 @ Village Highland Resort  https://t.co/ge2q0cCgK3,0,👌
1367435758110466050,2021-03-04 17:09:25 +0545,ashokayrai,😘😘👌 @ The Momo Factory  https://t.co/VkQyInXMCV,0,👌
1334823258785538048,2020-12-04 17:18:59 +0545,chetan_karki,One of the best #rice in the #world I guess 😊🙏🏻👌 #atti #babbal 2 thaal bhat gako #awastha #chetanvlogs #eating #rice #longgrain #nepal @ Orangestudiochetanvlogs  https://t.co/up2xAQWH1h,1,👌
1334087553058631681,2020-12-02 16:35:33 +0545,chetan_karki,Liked that wall art so the another photo pose of me 😊❤️👌🙏🏻 #chetanvlogs #vlogger #music #musician #musicianlife #instadaily #instalike #instagood #instagram #instaphoto #instapost @ Orangestudiochetanvlogs  https://t.co/m4TqWTHbti,2,👌
1333735577800372228,2020-12-01 17:16:56 +0545,chetan_karki,Our #hoodies and #T-shirts are #ontheway #soon will be in the #market 😊❤️🙏🏻✌🏻on our #website #chetanvlogs #chetanvlog  https://t.co/aCBHFHz2k9 @abisskarrrrr and his team are working so hard to produce 👌 ✊  https://t.co/JECz0jtKv4,0,👌
1331876175048814592,2020-11-26 14:08:19 +0545,chetan_karki,Chetan bro ko ipad kinne Sankalpa pura bhako awastha 😅😂🤣👌 #chetanvlogs #showertime #promise #fulfillment #ipadpro #ipad #2020 @ Orangestudiochetanvlogs  https://t.co/9MMwSmfaOp,0,👌
1331182827170390016,2020-11-24 16:13:12 +0545,chetan_karki,For #Those who #says nepal ma #kaam #chhiyna or #staying at #home withoutwork #didi will be great #example for them I guess ❤️🙏🏻😊👌 #chetanvlogs #nepal #nepali #work #letswork #sale #chetan @ Dhalku Chowk  https://t.co/kFclKFZcYS,0,👌
1324282089475248129,2020-11-05 15:12:08 +0545,chetan_karki,#hamro #bardali #diy #camper #truck #balcony #system kasto lagyo idea bros ? 😊🙏🏻❤️👌✌🏻 #chetanvlogs #campertruck #buildings #diywork #making #houseonwheels #wheels #house @ Orangestudiochetanvlogs  https://t.co/ByZiwaDlq0,0,👌
1321443394577698818,2020-10-28 19:12:11 +0545,chetan_karki,Love for the mom and dad ❤️😊🙏🏻✊👌 #chetanvlogs #tattoo #tattosworld #fendertattoo #tattosonhands #chetanrajkarki #nepal #tattoos @ Orangestudiochetanvlogs  https://t.co/HkZaVPxiFF,2,👌
1319235093173469184,2020-10-22 16:57:11 +0545,chetan_karki,Finally #road #mantri ko #dimagkharab bhayechha balla #cycling 🚴‍♀️ haru lae #bato payo !! Desh bikas hunu lako ko #awastha 😊❤️🙏🏻👌✌🏻 #chetanvlogs #musicians #road #signs #nepal #devlopment #lalitpur #pulchowk3  https://t.co/nPOF5J2owp,3,👌
