id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1383655252038098947,1383655252038098947,2021-04-18 11:19:53 +0545,2021-04-18,11:19:53,+0545,283853801,sashindrastha,Sashindra Shrestha,,Do you remember when you joined Twitter? I do! Though it was for  sports news purpose only 😄  #MyTwitterAnniversary  https://t.co/KAUdudiTtV,en,[],[],['https://pbs.twimg.com/media/EzO7Hh4VkAUhYKf.jpg'],0,0,0,['mytwitteranniversary'],[],https://twitter.com/sashindrastha/status/1383655252038098947,False,,1,https://pbs.twimg.com/media/EzO7Hh4VkAUhYKf.jpg,kathmandu,,,,,,[],,,,
1380878682365906950,1380878682365906950,2021-04-10 19:26:48 +0545,2021-04-10,19:26:48,+0545,3037180730,add1cted3200,くろ,"{'type': 'Point', 'coordinates': [27.77415382, 85.35978377]}",ゴルフの帰りにラーメンとチャーハン🍴 スコアは向上せずでしたが、リフレッシュできた1日でした😄  #ラーメン   #人類みな麺類 場所: Park Village Resort - Nepal  https://t.co/8SDj3NeULU,ja,[],['https://www.instagram.com/p/CNfMyEur9XP/?igshid=75l62v83j6oj'],[],0,0,1,"['ラーメン', '人類みな麺類']",[],https://twitter.com/add1cted3200/status/1380878682365906950,False,,0,,kathmandu,,,,,,[],,,,
1379087182414118921,1379087182414118921,2021-04-05 20:48:01 +0545,2021-04-05,20:48:01,+0545,1258683919148310529,tanikawakazu,Kazu tanikawa,"{'type': 'Point', 'coordinates': [27.6811219, 85.3099919]}",Every day no holiday 4 and half month Want to sleep like this 🤣😴😴 Planing nepali new year time 3 days holiday😆😄😃 to relax and planing next term. 場所: Home Sweet Home the Jhamsikhel  https://t.co/WQ7F2stkaV,en,[],['https://www.instagram.com/p/CNSeGURhtCu/?igshid=1vg8law6ymk6v'],[],0,0,0,[],[],https://twitter.com/TanikawaKazu/status/1379087182414118921,False,,0,,kathmandu,,,,,,[],,,,
1378203216010125313,1378203216010125313,2021-04-03 10:15:27 +0545,2021-04-03,10:15:27,+0545,1181970707250462721,d1x1ta,blaze,,teachers are always freaky 😄  https://t.co/EVpx4iDiiE,en,[],[],[],1,0,7,[],[],https://twitter.com/d1x1ta/status/1378203216010125313,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1378203070878740483/pu/img/TjzybvHNo49w49sE.jpg,kathmandu,,,,,,[],,,,
1377941254789550089,1377941254789550089,2021-04-02 16:54:30 +0545,2021-04-02,16:54:30,+0545,2586796880,chetan_karki,Chetan raj karki,"{'type': 'Point', 'coordinates': [27.67733347, 85.30763626]}",Ball badheko awastha ✌🏻😄 #chetanvlogs #vlog #vlogger #nepal #instagood #instagram #insta #instamood #instadaily #instafashion #pic #day @ Orangestudiochetanvlogs  https://t.co/gpMdhM82X4,nl,[],['https://www.instagram.com/p/CNKU_rVHXYk/?igshid=63pjgup0u2xe'],[],0,1,0,"['chetanvlogs', 'vlog', 'vlogger', 'nepal', 'instagood', 'instagram', 'insta', 'instamood', 'instadaily', 'instafashion', 'pic', 'day']",[],https://twitter.com/chetan_karki/status/1377941254789550089,False,,0,,kathmandu,,,,,,[],,,,
1368473288335319041,1368473288335319041,2021-03-07 13:52:11 +0545,2021-03-07,13:52:11,+0545,1365333766399348747,sunuwarseema,Seema Sunuwar,,It's raining today.  So I am sitting inside.  Today has been a fun experience.🏫😁😄😃 #nepal #kathamandu #sunday #sweetday,en,[],[],[],0,1,1,"['nepal', 'kathamandu', 'sunday', 'sweetday']",[],https://twitter.com/SunuwarSeema/status/1368473288335319041,False,,0,,kathmandu,,,,,,[],,,,
1366209733560963072,1366209733560963072,2021-03-01 07:57:38 +0545,2021-03-01,07:57:38,+0545,2331351066,bodhi_bimal,Bodhi Bimal,,५७ मिनेटमा 😄  https://t.co/9H4BoRhYfh,ne,[],[],['https://pbs.twimg.com/media/EvXAgAvVkAEtH9T.jpg'],0,0,10,[],[],https://twitter.com/Bodhi_Bimal/status/1366209733560963072,False,,1,https://pbs.twimg.com/media/EvXAgAvVkAEtH9T.jpg,kathmandu,,,,,,[],,,,
1360274086266507266,1360274086266507266,2021-02-12 22:51:29 +0545,2021-02-12,22:51:29,+0545,186777694,aashish828,۞ 🇳🇵۞,,#BussItRemix 😀😅😃😄  https://t.co/4xJHelRUne,und,[],[],['https://pbs.twimg.com/media/EuCqEEYVgAQJdCC.jpg'],0,0,0,['bussitremix'],[],https://twitter.com/Aashish828/status/1360274086266507266,False,,1,https://pbs.twimg.com/media/EuCqEEYVgAQJdCC.jpg,kathmandu,,,,,,[],,,,
1354799015079141378,1354799015079141378,2021-01-28 20:15:30 +0545,2021-01-28,20:15:30,+0545,2586796880,chetan_karki,Chetan raj karki,"{'type': 'Point', 'coordinates': [27.6544, 85.3195]}","Kasto chha mero photography 😄 #chetanvlogs #nepal #newar #culture #bhairav #bhairab #lion #statue #goldentemple #patan #nepali #mandir @ Lalitpur, Nepal  https://t.co/MSyvFaDEs3",tl,[],['https://www.instagram.com/p/CKl5H4mH6YK/?igshid=1mhi2iyekx3um'],[],0,0,1,"['chetanvlogs', 'nepal', 'newar', 'culture', 'bhairav', 'bhairab', 'lion', 'statue', 'goldentemple', 'patan', 'nepali', 'mandir']",[],https://twitter.com/chetan_karki/status/1354799015079141378,False,,0,,kathmandu,,,,,,[],,,,
1345716928359219200,1345716928359219200,2021-01-03 18:46:32 +0545,2021-01-03,18:46:32,+0545,2331351066,bodhi_bimal,Bodhi Bimal,,Patan ft @KafleNaviya 🙏😀😄  https://t.co/mal5dsW4sK,in,"[{'screen_name': 'kaflenaviya', 'name': 'naviya kafle', 'id': '1082703323780841473'}]",[],"['https://pbs.twimg.com/media/EqzyYvgUcAA4Nqb.jpg', 'https://pbs.twimg.com/media/EqzyZUAVQAIk5xs.jpg', 'https://pbs.twimg.com/media/EqzyZxVUcAApMLc.jpg', 'https://pbs.twimg.com/media/EqzyaO6VoAAUFbz.jpg']",1,0,16,[],[],https://twitter.com/Bodhi_Bimal/status/1345716928359219200,False,,1,https://pbs.twimg.com/media/EqzyYvgUcAA4Nqb.jpg,kathmandu,,,,,,[],,,,
