id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1398437418768818176,1398437418768818176,2021-05-29 06:18:57 +0545,2021-05-29,06:18:57,+0545,1476769400,dendikapan,CDCA Kapan,,शुभ बिहानी ☕️☕️ शुभदिनकाे कामना🙏😷👌🇳🇵💞 Hopefully we can get better situation 🙏  https://t.co/O5MU4ihG6v,und,[],[],['https://pbs.twimg.com/media/E2g_arKVIAICW-d.jpg'],0,0,3,[],[],https://twitter.com/DendiKapan/status/1398437418768818176,False,,1,https://pbs.twimg.com/media/E2g_arKVIAICW-d.jpg,kathmandu,,,,,,[],,,,
1397493049266081795,1397493049266081795,2021-05-26 15:46:21 +0545,2021-05-26,15:46:21,+0545,979128394364289024,worldflags7,World Flags,"{'type': 'Point', 'coordinates': [27.6939, 85.3157]}",🇳🇵 Nepal  Capital: Kathmandu  Credit:  https://t.co/LNliZPkT70  https://t.co/I37sFsTuni  https://t.co/QICd2tMP0C  https://t.co/b9gViM8JhG,ca,[],"['https://www.flickr.com/photos/192629610@N02/51138871859', 'https://www.flickr.com/photos/163539027@N08/51191582679', 'https://www.flickr.com/photos/141597399@N04/50704201113']","['https://pbs.twimg.com/media/E2TkfjpVoAYN8Y1.jpg', 'https://pbs.twimg.com/media/E2TkgJ5VkAYPR1o.jpg', 'https://pbs.twimg.com/media/E2TkgxVVoAMW0O-.jpg', 'https://pbs.twimg.com/media/E2TkhUnVoAEd7O7.jpg']",0,0,0,[],[],https://twitter.com/WorldFlags7/status/1397493049266081795,False,,1,https://pbs.twimg.com/media/E2TkfjpVoAYN8Y1.jpg,kathmandu,,,,,,[],,,,
1397441457770795009,1397441457770795009,2021-05-26 12:21:21 +0545,2021-05-26,12:21:21,+0545,758246584622600192,prakriti054,Prakriti Koirala,,🇳🇵  #mobilephotography #budhhajayanti  https://t.co/OIui96OtGo,und,[],[],['https://pbs.twimg.com/media/E2S1jMTVgAEyHIt.jpg'],0,0,4,"['mobilephotography', 'budhhajayanti']",[],https://twitter.com/prakriti054/status/1397441457770795009,False,,1,https://pbs.twimg.com/media/E2S1jMTVgAEyHIt.jpg,kathmandu,,,,,,[],,,,
1395034079314124801,1395034079314124801,2021-05-19 20:55:17 +0545,2021-05-19,20:55:17,+0545,310790253,manutension,Sacoglossan Sea Slug,"{'type': 'Point', 'coordinates': [27.713776, 85.310244]}",Holy Niyampal 🇳🇵- 16 - Diwali 🌟✨ . . . . . . . . . . . . . . . #instratravel #travelgram #voyage #instago #mytravelgram #explore #traveltheworld #discovertheworld #travelblog #Nepal #lelongchemin à Kathmandu  https://t.co/6ohd5USGQ8,ht,[],['https://www.instagram.com/p/CPDx6MULHp_/?utm_medium=twitter'],[],0,0,0,"['instratravel', 'travelgram', 'voyage', 'instago', 'mytravelgram', 'explore', 'traveltheworld', 'discovertheworld', 'travelblog', 'nepal', 'lelongchemin']",[],https://twitter.com/ManuTension/status/1395034079314124801,False,,0,,kathmandu,,,,,,[],,,,
1395033609346732038,1395033609346732038,2021-05-19 20:53:25 +0545,2021-05-19,20:53:25,+0545,310790253,manutension,Sacoglossan Sea Slug,"{'type': 'Point', 'coordinates': [27.713776, 85.310244]}",Holy Niyampal 🇳🇵- 14 - Diwali 🌟✨ . . . . . . . . . . . . . . . #instratravel #travelgram #voyage #instago #mytravelgram #explore #traveltheworld #discovertheworld #travelblog #Nepal #lelongchemin à Kathmandu  https://t.co/pHydfaBaKC,ht,[],['https://www.instagram.com/p/CPDxsderhHj/?utm_medium=twitter'],[],0,0,1,"['instratravel', 'travelgram', 'voyage', 'instago', 'mytravelgram', 'explore', 'traveltheworld', 'discovertheworld', 'travelblog', 'nepal', 'lelongchemin']",[],https://twitter.com/ManuTension/status/1395033609346732038,False,,0,,kathmandu,,,,,,[],,,,
1395011544187088899,1395011544187088899,2021-05-19 19:25:44 +0545,2021-05-19,19:25:44,+0545,1264026689044049920,hamroteamnepal,Hamro Team Nepal,"{'type': 'Point', 'coordinates': [27.695835, 85.32804]}",हाम्रो टिम निरन्तर सेवामा छौ । कोहि पनि नेपाली नागरिक दाजुभाइ अप्ठ्यारोमापर्न नपरोस् भनेर हाम्रो टिम अहोरात्र खटिरहेका छौ ।  #hamroteamnepal🇳🇵🇳🇵  #freefooddistribution  #freeoxygendistribution  #letsfightgainstcovid19  https://t.co/ImlIIKFkdT,ne,[],['https://www.instagram.com/p/CPDnqdtMpah/?utm_medium=twitter'],[],0,0,1,"['hamroteamnepal', 'freefooddistribution', 'freeoxygendistribution', 'letsfightgainstcovid19']",[],https://twitter.com/HamroteamNepal/status/1395011544187088899,False,,0,,kathmandu,,,,,,[],,,,
1394525968249720834,1394525968249720834,2021-05-18 11:16:14 +0545,2021-05-18,11:16:14,+0545,979128394364289024,worldflags7,World Flags,"{'type': 'Point', 'coordinates': [27.6939, 85.3157]}",🇳🇵 Nepal  Capital: Kathmandu  Credit:  https://t.co/oxxomErS2K  https://t.co/kabsadY5KP  https://t.co/0Bh5NLC2Lm  https://t.co/KUqO2DKGff,ca,[],"['https://www.flickr.com/photos/187797570@N02/50753086051', 'https://www.flickr.com/photos/129738991@N02/51130352137', 'https://www.flickr.com/photos/27728955@N04/51110617091']","['https://pbs.twimg.com/media/E1pZ8wOUUAAcEco.jpg', 'https://pbs.twimg.com/media/E1pZ9TbVoAQIHgi.jpg', 'https://pbs.twimg.com/media/E1pZ93gVcAU8NGd.jpg', 'https://pbs.twimg.com/media/E1pZ-eYVIAApghY.jpg']",0,0,0,[],[],https://twitter.com/WorldFlags7/status/1394525968249720834,False,,1,https://pbs.twimg.com/media/E1pZ8wOUUAAcEco.jpg,kathmandu,,,,,,[],,,,
1394355290452021250,1394355290452021250,2021-05-17 23:58:01 +0545,2021-05-17,23:58:01,+0545,310790253,manutension,Sacoglossan Sea Slug,"{'type': 'Point', 'coordinates': [27.713776, 85.310244]}",Holy Niyampal 🇳🇵- 13 - Diwali ✨🌟  . . . . . . . . . . . . . . . #instratravel #travelgram #voyage #instago #mytravelgram #explore #traveltheworld #discovertheworld #travelblog #Nepal #lelongchemin à Kathmandu  https://t.co/ZK9BPC2ZmN,ht,[],['https://www.instagram.com/p/CO-9O3lrcr7/?igshid=ti8scafcbx7x'],[],0,1,0,"['instratravel', 'travelgram', 'voyage', 'instago', 'mytravelgram', 'explore', 'traveltheworld', 'discovertheworld', 'travelblog', 'nepal', 'lelongchemin']",[],https://twitter.com/ManuTension/status/1394355290452021250,False,,0,,kathmandu,,,,,,[],,,,
1394006608871632897,1394006608871632897,2021-05-17 00:52:29 +0545,2021-05-17,00:52:29,+0545,310790253,manutension,Sacoglossan Sea Slug,"{'type': 'Point', 'coordinates': [27.72155947, 85.35654081]}",Holy Niyampal 🇳🇵- 11 -  Thunderstorm incoming ☁️⚡ . . . . . . . . . . . . . . . #instratravel #travelgram #voyage #instago #mytravelgram #explore #traveltheworld #discovertheworld #travelblog #Nepal #lelongchemin  https://t.co/LRzyYesZVg,en,[],['https://www.instagram.com/p/CO8eq9trReR/?igshid=w2x6rmpxqz9u'],[],0,1,2,"['instratravel', 'travelgram', 'voyage', 'instago', 'mytravelgram', 'explore', 'traveltheworld', 'discovertheworld', 'travelblog', 'nepal', 'lelongchemin']",[],https://twitter.com/ManuTension/status/1394006608871632897,False,,0,,kathmandu,,,,,,[],,,,
1392230352614264836,1387520497953476613,2021-05-12 03:14:17 +0545,2021-05-12,03:14:17,+0545,3151651417,worldlytrekker,Worldly Trekker,,"@live4sights @Holidaysfromhe1 @HopOnMyJourney @WandererPharaoh @TimeTraveler911 @RooLovesTravel @DemiDives @joukesp @meijiwanders @FeatureCumbria @feastsandfables @coupledaytravel @BartlettBacchus @TheGroovyGlobe1 @GFoodieFriends @journiesofalife @HarryWatson63 @Maritelcostales #MayIRecommendA2Z, Day 11 - Our K is for K-K-K-K-K-K-Kathmandu (Bob Seger anyone? 🎶). Craziest traffic and vehicles I’ve ever seen! Loved it!! #travel #traveltribe #travelphotography #bucketlist #Kathmandu #Nepal🇳🇵  . @journiesofalife @live4sights @HarryWatson63 @Maritelcostales  https://t.co/hp6b4N77lW",en,"[{'screen_name': 'journiesofalife', 'name': 'journeys of a lifetime', 'id': '1214825667868577793'}, {'screen_name': 'live4sights', 'name': 'world 🌎🌍🌏 traveler', 'id': '1539029078'}, {'screen_name': 'harrywatson63', 'name': 'harry watson', 'id': '54171861'}, {'screen_name': 'maritelcostales', 'name': 'maritel costales, md, mph', 'id': '3193784527'}]",[],"['https://pbs.twimg.com/media/E1IyHxtWEAkICSQ.jpg', 'https://pbs.twimg.com/media/E1IyHzWWEAc6NLd.jpg', 'https://pbs.twimg.com/media/E1IyH6ZXEAUNeP0.jpg']",3,4,17,"['mayirecommenda2z', 'travel', 'traveltribe', 'travelphotography', 'bucketlist', 'kathmandu', 'nepal']",[],https://twitter.com/worldlytrekker/status/1392230352614264836,False,,1,https://pbs.twimg.com/media/E1IyHxtWEAkICSQ.jpg,kathmandu,,,,,,"[{'screen_name': 'live4sights', 'name': 'World 🌎🌍🌏 Traveler', 'id': '1539029078'}, {'screen_name': 'Holidaysfromhe1', 'name': 'Holidaysfromhels', 'id': '1169926921368608768'}, {'screen_name': 'HopOnMyJourney', 'name': 'Frédérique - Hop On My Journey', 'id': '1129006231836909569'}, {'screen_name': 'WandererPharaoh', 'name': 'The Wanderer Pharaoh', 'id': '1256970222965268480'}, {'screen_name': 'TimeTraveler911', 'name': 'Geri Linda Metterle', 'id': '229428347'}, {'screen_name': 'RooLovesTravel', 'name': 'Roo ✈️', 'id': '273048348'}, {'screen_name': 'DemiDives', 'name': 'Demi', 'id': '1119599313376690176'}, {'screen_name': 'joukesp', 'name': 'The WineSmacker', 'id': '525285274'}, {'screen_name': 'meijiwanders', 'name': 'Meiji | slow traveler 🐒🏖', 'id': '31698521'}, {'screen_name': 'FeatureCumbria', 'name': 'Feature Cumbria', 'id': '887931699547566080'}, {'screen_name': 'feastsandfables', 'name': '@feastsandfables', 'id': '1137658213522989057'}, {'screen_name': 'coupledaytravel', 'name': 'A Couple Days Travel | Paula', 'id': '1226573424337788928'}, {'screen_name': 'BartlettBacchus', 'name': 'Ron Bartlett', 'id': '266834076'}, {'screen_name': 'TheGroovyGlobe1', 'name': 'The Groovy Globetrotter 🌊', 'id': '1171894457219846145'}, {'screen_name': 'GFoodieFriends', 'name': '#GlobalFoodieFriends', 'id': '1179261067865624576'}, {'screen_name': 'journiesofalife', 'name': 'Journeys of a Lifetime', 'id': '1214825667868577793'}, {'screen_name': 'HarryWatson63', 'name': 'Harry Watson', 'id': '54171861'}, {'screen_name': 'Maritelcostales', 'name': 'Maritel Costales, MD, MPH', 'id': '3193784527'}]",,,,
1391226966288703489,1385988151307550728,2021-05-09 08:47:11 +0545,2021-05-09,08:47:11,+0545,1476769400,dendikapan,CDCA Kapan,,@UNICEF We are looking forward for helping hand for Nepal 🇳🇵  https://t.co/GIS80Yfqcd,en,[],[],['https://pbs.twimg.com/media/E06hjOjVUAQE50c.jpg'],0,0,0,[],[],https://twitter.com/DendiKapan/status/1391226966288703489,False,,1,https://pbs.twimg.com/media/E06hjOjVUAQE50c.jpg,kathmandu,,,,,,"[{'screen_name': 'UNICEF', 'name': 'UNICEF', 'id': '33933259'}]",,,,
1390917194184204288,1390917194184204288,2021-05-08 12:16:15 +0545,2021-05-08,12:16:15,+0545,979128394364289024,worldflags7,World Flags,"{'type': 'Point', 'coordinates': [27.6939, 85.3157]}",🇳🇵 Nepal  Capital: Kathmandu  Credit:  https://t.co/QICd2tMP0C  https://t.co/RkZiBWDkpl  https://t.co/ykhbqZUBgv  https://t.co/82Z2iB09nP,ca,[],"['https://www.flickr.com/photos/141597399@N04/50704201113', 'https://www.flickr.com/photos/163539027@N08/51108745535', 'https://www.flickr.com/photos/184894576@N03/51139781218']","['https://pbs.twimg.com/media/E02HyY8VkAAA6zJ.jpg', 'https://pbs.twimg.com/media/E02HzCAVUAQZaxi.jpg', 'https://pbs.twimg.com/media/E02Hzk3VoAkNA3D.jpg', 'https://pbs.twimg.com/media/E02H0HmVkAIGgwa.jpg']",0,0,0,[],[],https://twitter.com/WorldFlags7/status/1390917194184204288,False,,1,https://pbs.twimg.com/media/E02HyY8VkAAA6zJ.jpg,kathmandu,,,,,,[],,,,
